time,stack,heap,heap_extra
0,0,0,0
321,0,472,16
325,0,4568,24
328,0,44568,32
337,0,44576,48
338,0,58368,7104
339,0,76568,14464
340,0,99656,21512
341,0,113492,27820
342,0,131488,34728
343,0,161552,40888
344,0,175260,47068
345,0,182500,48916
346,0,196652,55468
347,0,216632,61552
348,0,233396,67540
349,0,245540,73540
350,0,294168,78704
351,0,294176,78720
351,0,305452,84124
352,0,305464,84136
352,0,320376,89776
353,0,320384,89792
353,0,331456,94944
354,0,331464,94960
354,0,345984,98008
355,0,345996,98020
355,0,357272,103424
356,0,357280,103440
356,0,370408,108440
357,0,370416,108456
357,0,378320,111544
358,0,378328,111560
358,0,406416,116536
359,0,406424,116552
359,0,418008,121952
360,0,418016,121968
360,0,430904,126720
361,0,430912,126736
361,0,441844,131988
362,0,441880,132008
362,0,460104,136912
363,0,460124,136932
363,0,470896,142024
364,0,470916,142044
364,0,483616,146648
365,0,483624,146664
365,0,494016,151448
366,0,494056,151464
366,0,509032,154368
366,0,519032,154376
366,0,539032,154384
366,0,579032,154392
367,0,579089,154407
368,0,579561,154423
376,0,583657,154431
379,0,583657,154431
379,0,579561,154423
380,0,579089,154407
380,0,574993,154399
380,0,574521,154383
380,0,574464,154368
380,0,534464,154360
