time,stack,heap,heap_extra
0,0,0,0
323,0,472,16
330,0,404568,32
404,0,404576,48
412,0,525060,43108
420,0,665832,84648
428,0,803440,115648
432,0,871460,133292
436,0,914496,149112
440,0,958784,163920
444,0,985272,172752
448,0,1106560,182712
452,0,1178196,206580
456,0,1289140,240236
460,0,1421176,268856
464,0,1525616,304912
468,0,1652404,340724
472,0,1667268,346892
476,0,1954840,378032
480,0,2066612,411900
484,0,2198176,441256
488,0,2295512,474160
492,0,2407632,505392
496,0,2571924,530828
500,0,2668876,563524
504,0,2755780,589140
508,0,2894816,620760
512,0,2991968,653608
516,0,3102204,683972
523,0,3111064,688272
527,0,3342424,700064
531,0,3609264,721960
535,0,3711996,754180
539,0,3793476,780572
543,0,3926608,809576
547,0,4029676,841988
551,0,4112828,869052
555,0,4296836,898684
559,0,4403512,929928
563,0,4492416,961248
567,0,4618100,987860
571,0,4721764,1018036
575,0,4802132,1045332
579,0,5064432,1071008
583,0,5177636,1102460
587,0,5269512,1132976
591,0,5402604,1162924
595,0,5505272,1192504
599,0,5577976,1217000
605,0,5794256,1258760
609,0,5881020,1284012
613,0,5945208,1304504
617,0,6073628,1334436
621,0,6179956,1365268
637,0,6210736,1376552
642,0,6210744,1376568
646,0,6680280,1400096
650,0,7080812,1400132
658,0,7084908,1400140
661,0,7084908,1400140
