time,stack,heap,heap_extra
0,0,0,0
321,0,472,16
325,0,4568,24
328,0,44568,32
338,0,44576,48
339,0,67972,9668
340,0,81712,16696
341,0,103668,23500
342,0,120720,29664
343,0,134912,36264
344,0,163920,41904
345,0,175768,47528
346,0,183956,49748
347,0,197140,55908
348,0,217004,61868
349,0,233804,67916
350,0,246064,73808
351,0,293892,78516
352,0,293912,78536
352,0,305452,84124
353,0,305464,84136
353,0,320064,89528
354,0,320104,89544
354,0,331456,94944
355,0,331464,94960
355,0,345768,97856
356,0,345780,97868
356,0,357112,103352
357,0,357132,103372
357,0,370408,108440
358,0,370416,108456
358,0,377648,111144
359,0,377668,111164
359,0,405472,115872
360,0,405484,115884
360,0,416492,121180
361,0,416568,121192
361,0,429248,125832
362,0,429268,125852
362,0,440480,131136
363,0,440488,131152
363,0,458232,135840
364,0,458244,135852
364,0,468912,140832
365,0,468932,140852
365,0,481892,145676
366,0,481900,145692
366,0,492356,150516
367,0,492364,150532
367,0,509032,154368
367,0,519032,154376
368,0,539032,154384
368,0,579032,154392
368,0,579092,154404
370,0,579564,154420
377,0,583660,154428
380,0,583660,154428
380,0,579564,154420
381,0,579092,154404
381,0,574996,154396
381,0,574524,154380
381,0,574464,154368
381,0,534464,154360
