time,stack,heap,heap_extra
0,0,0,0
322,0,472,16
330,0,4004568,32
1050,0,4004576,48
1114,0,5214824,299576
1147,0,6339824,524248
1201,0,8049116,823524
1233,0,9002448,1049392
1282,0,10069984,1265432
1346,0,12690444,1668516
1410,0,14646852,2095964
1470,0,16717124,2485460
1507,0,16921320,2530592
1564,0,18395876,2835804
1628,0,21978508,3226532
1692,0,23845832,3627824
1756,0,25418624,4012560
1820,0,27498588,4402092
1852,0,28496632,4603416
1892,0,30441444,4830876
1924,0,31165108,5021364
1995,0,31411152,5061368
2045,0,32405452,5261204
2109,0,34462036,5645316
2173,0,35952596,6007596
2205,0,36977340,6214260
2257,0,41907424,6435496
2321,0,43776352,6837696
2385,0,45372008,7230408
2449,0,47474424,7628704
2513,0,49317292,8021140
2577,0,51794392,8388176
2609,0,52718288,8568464
2641,0,53571416,8762592
2693,0,54985196,9008484
2725,0,55783320,9192808
2773,0,57227096,9488840
2805,0,58858840,9653192
2837,0,60463696,9809968
2885,0,61823644,10085172
3028,0,61962288,10122104
3062,0,61962408,10122120
3094,0,62850644,10328740
3126,0,63990736,10502744
3158,0,64906200,10709512
3190,0,65828668,10895612
3222,0,66716940,11100972
3254,0,68399672,11284656
3286,0,69233384,11473456
3334,0,70655684,11781012
3342,0,70721416,11800704
3350,0,70919412,11852716
3358,0,71182628,11898756
3366,0,71387300,11953684
3374,0,71613616,12007432
3382,0,71803528,12059208
3390,0,72417416,12095648
3398,0,72607636,12147476
3406,0,72841384,12203072
3414,0,73042648,12257120
3422,0,73245936,12285592
3430,0,73432152,12335712
3438,0,73661020,12389692
3446,0,73872996,12444324
3454,0,74251292,12489204
3462,0,74463676,12544044
3470,0,74665828,12594004
3478,0,74872096,12646352
3487,0,75085976,12678600
3495,0,75292628,12734324
3503,0,75403164,12768668
3511,0,75659680,12822888
3520,0,76810264,12870848
3536,0,83810264,12870872
3552,0,83810325,12870883
3561,0,83814893,12870907
3564,0,83814893,12870907
