time,stack,heap,heap_extra
0,0,0,0
318,0,472,16
326,0,3004568,32
802,0,3004576,48
834,0,3514944,153896
897,0,5258648,583784
945,0,6644812,862564
977,0,7678092,1116244
1015,0,9373528,1381672
1064,0,10234684,1612268
1096,0,11315604,1865644
1128,0,12457320,2090928
1160,0,13188276,2290876
1192,0,14238632,2532528
1233,0,16641432,2800024
1265,0,16646464,2802184
1297,0,17295224,2973688
1329,0,18318068,3211380
1361,0,19464256,3439184
1393,0,20311676,3673508
1425,0,21296552,3893576
1457,0,22767844,4107652
1508,0,24112484,4433468
1540,0,24947000,4662424
1572,0,26061104,4867016
1604,0,27024112,5095672
1645,0,30907416,5344696
1685,0,31713280,5566368
1758,0,31861472,5604616
1807,0,32775612,5827588
1839,0,33974948,6057572
1871,0,34841200,6289888
1931,0,36300012,6650260
1963,0,37777540,6851260
1995,0,38669096,7068696
2027,0,39532756,7300564
2059,0,40571260,7503628
2091,0,41578980,7731612
2141,0,44108848,8017072
2173,0,44924460,8242324
2205,0,45856796,8465140
2237,0,46621676,8669620
2269,0,47771848,8888560
2301,0,48617532,9089044
2333,0,49503796,9323884
2365,0,50850320,9509608
2397,0,51782188,9715588
2442,0,52741052,9975460
2474,0,53759152,10170160
2530,0,55359272,10554992
2538,0,55436272,10577208
2546,0,55643348,10635292
2554,0,55997764,10689364
2567,0,61810264,10689416
2582,0,61810324,10689428
2591,0,61814892,10689452
2595,0,61814892,10689452
