time,stack,heap,heap_extra
0,0,0,0
320,0,472,16
325,0,4568,24
328,0,244568,32
367,0,244576,48
371,0,303940,21732
375,0,371588,41084
379,0,447804,59844
381,0,478032,69592
383,0,513148,78780
385,0,530128,85240
387,0,554548,93364
389,0,633788,101372
391,0,656588,110036
393,0,681712,118648
395,0,716904,126856
397,0,738088,134896
399,0,760580,142372
401,0,778412,148956
403,0,822876,156092
405,0,847728,162984
407,0,855036,165964
409,0,873116,173004
411,0,901452,179580
413,0,925648,187864
415,0,1019032,200432
417,0,1119576,214600
419,0,1173356,231260
421,0,1209424,243184
423,0,1276916,258300
425,0,1316268,271716
427,0,1378376,289152
429,0,1475952,305136
431,0,1528152,322912
433,0,1553544,328560
435,0,1575516,336668
437,0,1649572,353084
439,0,1694816,369176
441,0,1753368,386648
443,0,2033496,400856
445,0,2059396,411292
447,0,2118576,427456
449,0,2164868,444108
451,0,2233800,459768
453,0,2293928,476008
455,0,2338816,491864
457,0,2431868,506076
459,0,2467416,517936
461,0,2524004,534740
463,0,2561156,547276
465,0,2625000,561392
467,0,2684700,577988
469,0,2735188,595108
471,0,2884688,607544
473,0,2932488,624712
475,0,2991156,641052
477,0,3057488,656216
482,0,3058404,656772
484,0,3058640,656784
486,0,3091204,667012
488,0,3139052,681060
490,0,3186208,697208
492,0,3280068,711340
494,0,3338396,727268
496,0,3383828,743476
498,0,3451956,758628
500,0,3485820,770300
502,0,3541476,786980
504,0,3579264,799960
506,0,4062484,801700
516,0,4067052,801724
519,0,4067052,801724
