time,stack,heap,heap_extra
0,0,0,0
321,0,472,16
325,0,4568,24
328,0,44568,32
337,0,44576,48
338,0,52436,4612
339,0,71504,12032
340,0,91376,19304
341,0,109368,25840
342,0,126584,32784
343,0,158328,38776
344,0,171484,45236
345,0,176272,47848
346,0,192116,53156
347,0,212152,59264
348,0,225436,65460
349,0,240200,71368
350,0,256800,77176
351,0,302624,82328
352,0,316584,87928
353,0,316604,87948
353,0,328068,93236
354,0,328080,93248
354,0,333360,96128
355,0,333440,96136
355,0,354244,101508
356,0,354264,101528
356,0,368068,106956
357,0,368080,106968
357,0,373632,109752
358,0,373644,109764
358,0,384568,115008
359,0,384576,115024
359,0,412596,119940
360,0,412632,119960
360,0,423356,124868
361,0,423368,124880
361,0,436296,129664
362,0,436316,129684
362,0,446732,134468
363,0,446752,134488
363,0,464748,139380
364,0,464768,139400
364,0,475340,144348
365,0,475380,144364
365,0,488124,148972
366,0,488132,148988
366,0,498192,153608
367,0,498212,153628
367,0,509032,154368
367,0,519032,154376
367,0,539032,154384
367,0,579032,154392
367,0,579097,154415
369,0,579569,154431
377,0,583665,154439
380,0,583665,154439
380,0,579569,154431
380,0,579097,154415
380,0,575001,154407
380,0,574529,154391
380,0,574464,154368
381,0,534464,154360
