time,stack,heap,heap_extra
0,0,0,0
321,0,472,16
325,0,4568,24
328,0,244568,32
373,0,244576,48
377,0,329688,26688
381,0,381668,44612
385,0,465116,65036
387,0,489716,74772
389,0,522748,82148
391,0,543156,88396
393,0,567676,97812
395,0,644568,106176
397,0,672272,114328
399,0,694612,123004
401,0,725704,130736
403,0,752564,138884
405,0,772756,146804
407,0,818840,154152
409,0,838396,161628
411,0,849936,164296
413,0,867948,170988
415,0,896916,177716
417,0,916388,184756
419,0,940660,192916
421,0,1086644,203716
423,0,1137896,221816
425,0,1199648,238936
427,0,1267152,254888
429,0,1305760,267928
431,0,1366884,286556
433,0,1471640,303480
435,0,1525176,322056
437,0,1553544,328560
439,0,1553552,328576
441,0,1603724,345532
443,0,1682192,363392
445,0,1737388,380476
447,0,1790264,399072
449,0,2059736,411480
451,0,2123080,429288
453,0,2174396,447364
455,0,2251624,464904
457,0,2311548,482892
459,0,2364480,501000
461,0,2459900,514724
463,0,2508052,529028
465,0,2560288,546840
467,0,2621284,560084
470,0,2706744,586384
472,0,2747344,600624
474,0,2907164,614972
476,0,2966480,632552
478,0,3013308,649572
483,0,3058404,656772
485,0,3058640,656784
487,0,3087924,666052
489,0,3145244,682804
491,0,3192436,699812
493,0,3294592,715296
495,0,3344784,729912
497,0,3393184,746696
499,0,3461820,762900
501,0,3498700,775316
503,0,3552792,789112
505,0,4062424,801688
507,0,4062962,801726
515,0,4067058,801734
519,0,4067058,801734
