time,stack,heap,heap_extra
0,0,0,0
325,0,472,16
330,0,4568,24
333,0,44568,32
342,0,44576,48
343,0,68352,10008
344,0,83240,17120
345,0,104184,23824
346,0,122216,30544
347,0,135884,36996
348,0,166040,43184
349,0,175260,47068
350,0,186896,51240
351,0,199880,57624
352,0,221680,63656
353,0,236432,69536
354,0,249648,75640
355,0,297664,80568
356,0,297672,80584
356,0,309712,86248
357,0,309732,86268
357,0,325832,91840
358,0,325840,91856
358,0,331464,94960
359,0,331476,94972
359,0,350276,100180
360,0,350288,100192
360,0,361628,105636
361,0,361636,105652
361,0,370416,108456
362,0,370432,108464
362,0,381452,113340
363,0,382076,113348
363,0,408804,118084
364,0,408812,118100
364,0,420996,123492
365,0,421016,123512
365,0,433868,128228
366,0,433876,128244
366,0,445072,133528
367,0,445080,133544
367,0,462892,138316
368,0,462900,138332
368,0,473728,143448
369,0,473804,143460
369,0,486608,148200
370,0,486628,148220
370,0,497036,152988
371,0,497044,153004
371,0,509032,154368
371,0,519032,154376
371,0,539032,154384
371,0,579032,154392
371,0,579098,154414
373,0,579570,154430
381,0,583666,154438
384,0,583666,154438
384,0,579570,154430
384,0,579098,154414
385,0,575002,154406
385,0,574530,154390
385,0,574464,154368
385,0,534464,154360
