time,stack,heap,heap_extra
0,0,0,0
319,0,472,16
327,0,3004568,32
852,0,3004576,48
916,0,4405168,346432
969,0,6021912,700576
1001,0,6910688,937776
1061,0,9387640,1387616
1125,0,10844120,1751408
1157,0,11730468,1983500
1189,0,12954440,2223416
1221,0,13969236,2469244
1265,0,16515536,2762088
1305,0,16646464,2802184
1337,0,17282092,2968244
1369,0,18348596,3215220
1401,0,19338620,3407692
1433,0,20247480,3651536
1465,0,21282004,3887188
1497,0,22798012,4117372
1529,0,23800672,4342568
1561,0,24541384,4546272
1593,0,25598560,4756328
1625,0,26468452,4985628
1657,0,27509200,5224328
1713,0,31683872,5555088
1787,0,31861472,5604616
1836,0,32930500,5853172
1868,0,34043636,6080724
1900,0,34918844,6312788
1952,0,36300012,6650260
1984,0,37833100,6868972
2016,0,38829432,7111048
2048,0,39661956,7339052
2080,0,40860672,7568488
2112,0,41788936,7789688
2144,0,43358840,8017048
2176,0,44889540,8229412
2208,0,45791904,8442792
2240,0,46622736,8670304
2272,0,47719360,8871216
2304,0,48636652,9095948
2336,0,49501932,9323020
2368,0,50835132,9502948
2400,0,51806388,9723740
2446,0,52741052,9975460
2478,0,53897520,10188312
2510,0,54732796,10392476
2542,0,55580676,10614172
2588,0,61814895,10689449
2596,0,61810327,10689425
