time,stack,heap,heap_extra
0,0,0,0
322,0,472,16
329,0,4004568,32
1035,0,4004576,48
1074,0,4615324,158164
1132,0,6319688,516872
1194,0,8236452,874156
1226,0,9193084,1099772
1279,0,10305276,1320004
1343,0,12982140,1739556
1407,0,14909340,2161620
1465,0,16903668,2526036
1528,0,17536980,2669156
1584,0,19275544,3039992
1640,0,22570132,3377428
1696,0,24281224,3738616
1739,0,25392156,4003748
1795,0,27308472,4350296
1858,0,29131296,4740144
1907,0,31347012,5042540
1977,0,31411152,5061368
2022,0,32044968,5225744
2078,0,33777028,5586444
2106,0,34909968,5756792
2151,0,35948344,6005640
2179,0,36899660,6191588
2230,0,41907424,6435496
2286,0,43327636,6781972
2342,0,44973588,7132964
2398,0,46922704,7491056
2454,0,48641144,7845624
2490,0,50383136,8044352
2546,0,51866176,8403712
2609,0,53716996,8799236
2655,0,54985196,9008484
2711,0,56570364,9346212
2767,0,59859244,9653540
2795,0,60519944,9828712
2837,0,61789064,10076648
2981,0,61962288,10122104
3018,0,61962408,10122120
3074,0,63846704,10457624
3130,0,65327756,10815876
3186,0,66860224,11136552
3242,0,69060188,11454780
3298,0,70345708,11708396
3354,0,71731064,12038096
3410,0,73638064,12380696
3438,0,74428176,12536192
3480,0,75516928,12787272
3487,0,75532344,12792400
3494,0,75712892,12840356
3503,0,77810264,12870856
3514,0,83810264,12870872
3528,0,83810335,12870889
3538,0,83814903,12870913
3541,0,83814903,12870913
