time,stack,heap,heap_extra
0,0,0,0
322,0,472,16
329,0,3004568,32
871,0,3004576,48
903,0,3505168,149784
936,0,4411208,349400
967,0,5258648,583784
995,0,6102652,724612
1027,0,7070052,985732
1059,0,8138544,1234048
1098,0,9432476,1401228
1130,0,10246704,1617176
1179,0,11686480,1970400
1211,0,12875148,2201020
1243,0,13887976,2445488
1290,0,16510956,2760796
1328,0,16646464,2802184
1378,0,17907620,3104956
1434,0,19770232,3508328
1490,0,21368016,3916744
1526,0,22937812,4159868
1554,0,23836880,4356928
1582,0,24529592,4541496
1610,0,25428316,4702044
1638,0,26167124,4899948
1666,0,27059060,5109428
1694,0,27755048,5295224
1744,0,31777308,5587708
1815,0,31861472,5604616
1861,0,32775464,5827480
1889,0,33868076,6026892
1917,0,34650636,6239172
1945,0,35434828,6423292
1983,0,36300012,6650260
2011,0,37674368,6846192
2039,0,38572268,7039668
2067,0,39324516,7243308
2095,0,40366684,7437804
2123,0,41056472,7621944
2151,0,41902032,7825200
2179,0,42983840,8017032
2207,0,44778064,8196408
2235,0,45630536,8400504
2263,0,46322804,8585484
2291,0,47357744,8779040
2319,0,48038424,8961072
2347,0,48854216,9153200
2383,0,50349624,9359720
2411,0,51048164,9547132
2446,0,52046536,9789896
2453,0,52105740,9809564
2460,0,52353756,9859460
2467,0,52519360,9912648
2474,0,52704852,9961748
2484,0,52741052,9975460
2491,0,52877776,10017376
2498,0,53351648,10053528
2505,0,53555308,10104804
2512,0,53710632,10155104
2519,0,53920176,10198656
2526,0,54009952,10229760
2533,0,54202476,10276716
2540,0,54369712,10329264
2547,0,54691036,10376236
2554,0,54846228,10426396
2561,0,55020596,10473076
2568,0,55267144,10522872
2575,0,55431068,10574852
2582,0,55604228,10622620
2589,0,55760004,10668556
2596,0,56560264,10689392
2606,0,61810264,10689416
2617,0,61810333,10689435
2627,0,61814901,10689459
2630,0,61814901,10689459
