time,stack,heap,heap_extra
0,0,0,0
324,0,472,16
331,0,404568,32
404,0,404576,48
412,0,525036,43092
420,0,665300,84236
424,0,752336,98688
428,0,806168,117104
432,0,874668,134596
436,0,919052,151196
440,0,968992,166328
444,0,1001532,174988
448,0,1111400,184744
452,0,1194896,212056
456,0,1311948,245612
460,0,1437112,273888
464,0,1559672,309840
470,0,1659896,344336
474,0,1910972,364436
478,0,2028812,398324
482,0,2130304,432032
486,0,2268420,464828
490,0,2381240,498056
494,0,2557968,525056
501,0,2723960,577248
505,0,2818040,608912
509,0,2959616,642184
513,0,3069420,675084
520,0,3111064,688272
524,0,3242424,700056
528,0,3595596,721052
532,0,3711288,753776
536,0,3793476,780572
540,0,3929348,811036
544,0,4039484,844260
548,0,4120744,872032
552,0,4303088,901624
556,0,4409648,932800
560,0,4544128,962584
564,0,4632200,993720
568,0,4729408,1021552
572,0,4810672,1049328
576,0,5083432,1074688
580,0,5190672,1106392
584,0,5328592,1137592
588,0,5415240,1167848
592,0,5517040,1197712
596,0,5695824,1225096
600,0,5779132,1254044
606,0,5896148,1290436
610,0,5947988,1306020
614,0,6083192,1336368
618,0,6189764,1367548
633,0,6210736,1376552
637,0,6210744,1376568
641,0,6279840,1399560
646,0,7080822,1400138
654,0,7084918,1400146
657,0,7084918,1400146
