time,stack,heap,heap_extra
0,0,0,0
323,0,472,16
327,0,4568,24
330,0,24568,32
336,0,24576,48
336,0,30176,3192
337,0,30188,3204
337,0,50124,11012
338,0,50132,11028
338,0,65392,18400
339,0,65400,18416
339,0,83900,23620
340,0,83920,23640
340,0,101196,30092
341,0,101212,30100
341,0,115824,36920
342,0,115836,36932
342,0,145984,43104
343,0,145992,43120
343,0,156272,47848
344,0,156280,47864
344,0,167236,51460
345,0,167244,51476
345,0,180040,57792
346,0,180076,57812
346,0,202476,63964
347,0,202496,63984
347,0,218072,70016
348,0,218080,70032
348,0,230500,76028
349,0,230512,76040
349,0,231688,76912
349,0,231700,76924
349,0,231708,76940
349,0,231728,76960
349,0,231768,76976
349,0,231776,76992
349,0,231788,77004
349,0,231796,77020
349,0,231816,77040
349,0,231824,77056
349,0,231832,77072
349,0,231848,77080
349,0,231884,77100
349,0,231960,77112
349,0,232116,77124
349,0,232428,77140
349,0,233052,77148
349,0,234300,77156
349,0,236800,77176
349,0,241800,77192
349,0,251800,77200
349,0,271800,77208
349,0,271858,77222
350,0,272330,77238
358,0,276426,77246
361,0,276426,77246
361,0,272330,77238
362,0,271858,77222
362,0,267762,77214
362,0,267290,77198
362,0,267232,77184
362,0,247232,77176
