time,stack,heap,heap_extra
0,0,0,0
320,0,472,16
325,0,4568,24
328,0,24568,32
333,0,24576,48
334,0,24588,60
334,0,37236,6300
335,0,37256,6320
335,0,54944,13584
336,0,54956,13596
336,0,78744,20816
337,0,78752,20832
337,0,92648,27448
338,0,92656,27464
338,0,110740,34220
339,0,110748,34236
339,0,140552,40112
340,0,140560,40128
340,0,154288,46656
341,0,154296,46672
341,0,161988,48612
342,0,161996,48628
342,0,174936,54936
343,0,174948,54948
343,0,195504,60968
344,0,195512,60984
344,0,208236,67212
345,0,208248,67224
345,0,225112,73328
346,0,225124,73340
346,0,231680,76896
346,0,231688,76912
346,0,231700,76924
346,0,231708,76940
346,0,231728,76960
346,0,231768,76976
346,0,231776,76992
346,0,231788,77004
346,0,231796,77020
346,0,231816,77040
346,0,231824,77056
346,0,231832,77072
346,0,231848,77080
346,0,231884,77100
346,0,231960,77112
346,0,232116,77124
346,0,232428,77140
346,0,233052,77148
346,0,234300,77156
346,0,236800,77176
346,0,241800,77192
346,0,251800,77200
346,0,271800,77208
347,0,271859,77221
348,0,272331,77237
356,0,276427,77245
359,0,276427,77245
359,0,272331,77237
359,0,271859,77221
359,0,267763,77213
359,0,267291,77197
360,0,267232,77184
360,0,247232,77176
