time,stack,heap,heap_extra
0,0,0,0
325,0,472,16
329,0,4568,24
332,0,44568,32
342,0,44576,48
343,0,62452,9028
344,0,80660,15956
345,0,102288,22744
346,0,119916,29100
347,0,132788,35508
348,0,163240,41432
349,0,175768,47528
350,0,182508,48932
351,0,195376,55312
352,0,215504,60968
353,0,228088,67152
354,0,244384,72848
355,0,292220,77596
356,0,304256,83224
357,0,317788,88588
358,0,317824,88608
358,0,329644,94052
359,0,330268,94060
359,0,343608,96496
360,0,343616,96512
360,0,354924,101924
361,0,354936,101936
361,0,368444,107276
362,0,368480,107296
362,0,373780,109908
363,0,373788,109924
363,0,384952,115208
364,0,384964,115220
364,0,412864,119984
365,0,412872,120000
365,0,423464,124976
366,0,423484,124996
366,0,436432,129808
367,0,436452,129828
367,0,447240,134928
368,0,447248,134944
368,0,465160,139712
369,0,465168,139728
369,0,474692,143876
370,0,474700,143892
370,0,487620,148660
371,0,487640,148680
371,0,498048,153448
372,0,498056,153464
372,0,509032,154368
372,0,519032,154376
372,0,539032,154384
372,0,579032,154392
373,0,579092,154404
374,0,579564,154420
382,0,583660,154428
385,0,583660,154428
385,0,579564,154420
385,0,579092,154404
386,0,574996,154396
386,0,574524,154380
386,0,574464,154368
386,0,534464,154360
