time,stack,heap,heap_extra
0,0,0,0
321,0,472,16
328,0,4004568,32
1048,0,4004576,48
1096,0,4732632,193912
1128,0,5618556,399596
1168,0,6840676,632692
1232,0,9002148,1049164
1281,0,10069984,1265432
1345,0,12669504,1660624
1409,0,14592616,2080408
1475,0,16779752,2501600
1510,0,16921320,2530592
1554,0,17890304,2760624
1582,0,18830936,2942896
1625,0,21955992,3217752
1681,0,23379740,3565892
1709,0,24291616,3742176
1752,0,25392156,4003748
1808,0,27251048,4335848
1843,0,28324940,4558532
1893,0,30431712,4826624
1928,0,31303676,5027716
1996,0,31411152,5061368
2042,0,32328216,5239576
2098,0,33816324,5599252
2126,0,34919744,5761000
2171,0,35948344,6005640
2227,0,37609612,6350236
2270,0,42237100,6530404
2326,0,43871352,6866896
2382,0,45292380,7208340
2438,0,47098252,7536580
2494,0,48730460,7872100
2550,0,50997952,8204440
2620,0,52890820,8613444
2683,0,54823484,8965740
2726,0,55690892,9165156
2782,0,57258440,9498352
2839,0,60405524,9797716
2888,0,61817644,10082652
3028,0,61962288,10122104
3090,0,62690248,10284016
3139,0,64342540,10586036
3195,0,65863412,10906796
3251,0,67311312,11252560
3307,0,69624572,11569564
3363,0,71211972,11908308
3419,0,73058156,12262572
3489,0,75085976,12678600
3496,0,75088732,12679300
3503,0,75262012,12725196
3510,0,75436808,12770256
3517,0,75618360,12817744
3524,0,75800488,12866368
3534,0,79810264,12870864
3542,0,83810264,12870872
3559,0,83810325,12870883
3568,0,83814893,12870907
3572,0,83814893,12870907
