time,stack,heap,heap_extra
0,0,0,0
321,0,472,16
325,0,4568,24
328,0,44568,32
337,0,44576,48
338,0,68884,10332
339,0,83948,17580
340,0,105596,24124
341,0,122984,31040
342,0,137060,37636
343,0,169224,43984
344,0,175768,47528
345,0,184284,50028
346,0,197652,56244
347,0,217576,62240
348,0,234100,68132
349,0,246420,74100
350,0,294304,78848
351,0,306864,84424
352,0,320104,89544
353,0,320184,89552
353,0,331376,94936
354,0,331456,94944
354,0,344608,97240
355,0,344616,97256
355,0,356200,102656
356,0,356208,102672
356,0,369960,108048
357,0,370000,108064
357,0,374488,110368
358,0,374508,110388
358,0,390416,115768
359,0,395416,115784
359,0,413372,120452
360,0,413380,120468
360,0,426320,125408
361,0,428820,125428
361,0,439360,130344
362,0,439368,130360
362,0,452224,135064
363,0,457224,135080
363,0,467744,139968
364,0,467752,139984
364,0,480684,144796
365,0,480696,144808
365,0,491128,149584
366,0,491148,149604
366,0,501532,154332
367,0,504032,154352
367,0,509032,154368
367,0,519032,154376
367,0,539032,154384
367,0,579032,154392
367,0,579091,154405
369,0,579563,154421
376,0,583659,154429
380,0,583659,154429
380,0,579563,154421
380,0,579091,154405
380,0,574995,154397
380,0,574523,154381
380,0,574464,154368
380,0,534464,154360
