time,stack,heap,heap_extra
0,0,0,0
324,0,472,16
331,0,4004568,32
888,0,4004576,48
959,0,5324604,316540
994,0,6371708,531156
1056,0,8200148,862628
1088,0,9116880,1078696
1145,0,10288224,1315816
1209,0,12821724,1708748
1273,0,14754400,2112008
1319,0,15939440,2402056
1371,0,16921320,2530592
1416,0,17882872,2758792
1444,0,18798540,2935180
1497,0,21956000,3217768
1553,0,23423848,3571904
1581,0,24317072,3746696
1626,0,25392156,4003748
1689,0,27436004,4385100
1717,0,28275672,4544792
1767,0,30431712,4826624
1802,0,31360956,5047140
1869,0,31411152,5061368
1914,0,32300632,5228824
1970,0,33711692,5572508
1998,0,34749868,5726196
2049,0,35948344,6005640
2112,0,37793264,6399168
2153,0,42236112,6529704
2209,0,43892780,6875044
2265,0,45333504,7218120
2321,0,47228728,7560680
2377,0,48840720,7899968
2434,0,51070180,8224700
2469,0,52033308,8446508
2520,0,53363156,8716516
2578,0,54985196,9008484
2634,0,56518084,9329356
2690,0,58858840,9653192
2746,0,61135564,9954844
2774,0,61919464,10108056
2910,0,61962288,10122104
2979,0,62852248,10329664
3035,0,64526116,10634932
3091,0,66151952,10972872
3147,0,68399012,11284236
3203,0,69663500,11582188
3259,0,71319448,11934992
3329,0,73496860,12354716
3336,0,73524664,12362680
3343,0,73729288,12408680
3350,0,73910568,12456216
3357,0,74278560,12494704
3364,0,74436784,12539064
3371,0,74635292,12582004
3378,0,74802516,12626988
3385,0,75069628,12672820
3392,0,75152940,12696796
3399,0,75311920,12741568
3406,0,75401640,12768200
3413,0,75611684,12815180
3420,0,75783508,12860372
3431,0,79810264,12870864
3439,0,83810264,12870872
3458,0,83810326,12870882
3467,0,83814894,12870906
3470,0,83814894,12870906
