time,stack,heap,heap_extra
0,0,0,0
322,0,472,16
326,0,4568,24
329,0,44568,32
338,0,44576,48
339,0,69020,10476
340,0,84104,17744
341,0,104504,24088
342,0,122728,30872
343,0,136896,37456
344,0,166140,43276
345,0,175776,47544
346,0,186896,51240
347,0,199880,57624
348,0,221572,63604
349,0,236432,69536
350,0,249648,75640
351,0,297808,80728
352,0,297816,80744
352,0,309740,86284
353,0,309752,86296
353,0,325744,91760
354,0,325752,91776
354,0,331464,94960
355,0,331476,94972
355,0,349424,99792
356,0,349432,99808
356,0,360888,105176
357,0,360928,105192
357,0,370408,108440
358,0,370416,108456
358,0,382152,113456
359,0,382172,113476
359,0,410424,118544
360,0,410444,118564
360,0,421392,123704
361,0,421412,123724
361,0,434488,128664
362,0,434496,128680
362,0,445140,133620
363,0,445148,133636
363,0,463836,138684
364,0,463844,138700
364,0,474328,143568
365,0,474340,143580
365,0,486628,148220
366,0,486636,148236
366,0,497676,153124
367,0,497684,153140
367,0,509032,154368
367,0,519032,154376
367,0,539032,154384
367,0,579032,154392
367,0,579097,154415
369,0,579569,154431
377,0,583665,154439
380,0,583665,154439
380,0,579569,154431
380,0,579097,154415
381,0,575001,154407
381,0,574529,154391
381,0,574464,154368
381,0,534464,154360
