time,stack,heap,heap_extra
0,0,0,0
321,0,472,16
327,0,4568,24
331,0,404568,32
405,0,404576,48
413,0,552468,44972
421,0,669996,86100
429,0,809368,118288
437,0,919644,151628
441,0,969412,166612
445,0,1001532,174988
449,0,1113484,185916
453,0,1199804,213364
457,0,1316696,246800
461,0,1426124,270964
465,0,1553764,307204
469,0,1659356,343972
473,0,1773496,350032
477,0,1963860,382324
481,0,2087000,416096
485,0,2222656,449544
489,0,2340788,483508
493,0,2438156,516452
497,0,2606692,544124
501,0,2717676,574276
505,0,2811152,606568
509,0,2955736,640024
513,0,3065900,673252
521,0,3111064,688272
525,0,3136228,696956
529,0,3592980,719700
533,0,3709836,753140
537,0,3793476,780572
541,0,3930764,811900
545,0,4046312,847368
549,0,4126328,874456
553,0,4315200,906432
557,0,4423616,938496
561,0,4560936,969888
565,0,4656216,1001784
569,0,4764872,1032112
573,0,5026800,1056832
577,0,5125232,1090160
581,0,5240604,1122620
585,0,5373636,1154700
589,0,5482412,1185196
593,0,5558968,1210824
597,0,5733080,1239424
601,0,5844556,1270188
607,0,5949008,1306592
611,0,6067228,1334164
615,0,6182548,1366596
630,0,6210736,1376552
634,0,6210744,1376568
638,0,6680280,1400096
649,0,7084915,1400149
652,0,7084915,1400149
