time,stack,heap,heap_extra
0,0,0,0
324,0,472,16
331,0,404568,32
403,0,404576,48
411,0,550684,43772
419,0,668196,85380
427,0,808940,118156
431,0,876180,135364
435,0,919304,151384
439,0,969508,166724
443,0,1014032,175008
447,0,1120728,186912
451,0,1200260,213700
455,0,1318852,247988
459,0,1425988,270844
463,0,1552596,306468
467,0,1656708,342556
471,0,1669756,347780
475,0,1956748,378932
479,0,2067788,412644
483,0,2207864,445024
487,0,2307560,478648
491,0,2421224,510864
495,0,2591616,537936
499,0,2710196,571636
503,0,2788268,598220
507,0,2922836,631004
513,0,3088192,678232
520,0,3111064,688272
524,0,3142276,699724
528,0,3595624,721096
532,0,3711996,754180
536,0,3793476,780572
540,0,3932744,812400
544,0,4045340,846852
548,0,4125372,873924
552,0,4313976,905640
556,0,4421200,937704
560,0,4558444,968628
564,0,4651636,1000636
568,0,4761632,1030872
572,0,5023380,1055532
576,0,5118352,1087800
580,0,5233216,1120048
584,0,5358904,1148536
588,0,5445392,1178672
592,0,5550940,1207924
596,0,5705184,1229760
600,0,5796208,1259760
604,0,5894464,1289320
608,0,5956384,1309144
612,0,6089956,1339532
616,0,6196840,1370880
631,0,6210736,1376552
635,0,6210744,1376568
639,0,6480280,1400088
643,0,7080822,1400138
651,0,7084918,1400146
654,0,7084918,1400146
