time,stack,heap,heap_extra
0,0,0,0
321,0,472,16
328,0,404568,32
400,0,404576,48
408,0,555024,46304
416,0,669996,86100
420,0,758444,101516
424,0,812436,119972
428,0,878264,136512
432,0,922088,152840
436,0,972264,167584
440,0,1089032,175032
444,0,1119668,186292
448,0,1200288,213744
452,0,1322216,249312
456,0,1450640,279280
463,0,1652680,340896
467,0,1669820,347852
471,0,1957100,379188
475,0,2069544,412936
479,0,2208140,445124
483,0,2309076,479604
487,0,2425068,512548
491,0,2595452,539444
496,0,2726992,578896
500,0,2822372,610804
504,0,2964956,644548
508,0,3075164,677660
515,0,3111064,688272
519,0,3142312,699752
523,0,3594088,720360
527,0,3710796,753404
531,0,3793476,780572
535,0,3933724,812956
539,0,4049764,847812
543,0,4226896,875088
547,0,4325880,909176
551,0,4440308,941028
555,0,4567556,972908
559,0,4663756,1005212
563,0,4771132,1033988
567,0,5032748,1059476
571,0,5131320,1092920
575,0,5244388,1124252
579,0,5368200,1153128
583,0,5475936,1182128
587,0,5559760,1211320
591,0,5729948,1238148
595,0,5816448,1268280
601,0,5922388,1296196
605,0,6035556,1322396
609,0,6129736,1353536
626,0,6210736,1376552
630,0,6210744,1376568
634,0,6680280,1400096
648,0,7084917,1400147
651,0,7084917,1400147
