time,stack,heap,heap_extra
0,0,0,0
322,0,472,16
329,0,404568,32
402,0,404576,48
410,0,552272,44792
418,0,669996,86100
426,0,809828,118620
430,0,877128,135824
434,0,920584,151904
438,0,969468,166668
442,0,1014032,175008
446,0,1119836,186348
450,0,1200644,213940
454,0,1320000,248688
458,0,1428728,272304
462,0,1556324,308500
468,0,1659896,344336
472,0,1913932,366076
476,0,2033924,399828
480,0,2133640,433968
484,0,2274064,466528
488,0,2384944,500056
492,0,2559788,526284
499,0,2737248,581336
503,0,2875200,612568
507,0,2973972,646476
511,0,3089628,679164
518,0,3111064,688272
522,0,3148676,699996
526,0,3589776,718496
530,0,3704900,750796
534,0,3791940,779604
538,0,3912780,808540
542,0,4036816,842848
546,0,4119120,870968
550,0,4304124,902212
554,0,4412648,934408
558,0,4548548,965164
562,0,4644492,997220
566,0,4744080,1027664
570,0,5011360,1050096
574,0,5102156,1082660
578,0,5211860,1115588
582,0,5350872,1147208
586,0,5443592,1178328
590,0,5555392,1208912
594,0,5721436,1235996
598,0,5803584,1263280
602,0,5876180,1281980
606,0,5896148,1290436
610,0,5966176,1312504
614,0,6097668,1342284
618,0,6203744,1373264
633,0,6210736,1376552
637,0,6210744,1376568
641,0,6380280,1400080
645,0,7080822,1400138
654,0,7084918,1400146
657,0,7084918,1400146
