time,stack,heap,heap_extra
0,0,0,0
325,0,472,16
332,0,4004568,32
1046,0,4004576,48
1113,0,5324008,316168
1147,0,6347360,527232
1199,0,8048828,823300
1231,0,9001644,1048884
1292,0,10305620,1320164
1356,0,13010936,1747912
1420,0,14886268,2152556
1474,0,16779360,2501272
1540,0,17536980,2669156
1596,0,19257536,3033392
1652,0,22510620,3365572
1708,0,24241720,3725768
1753,0,25392156,4003748
1809,0,27327740,4357244
1872,0,29155756,4749220
1922,0,31390876,5053740
1988,0,31411152,5061368
2034,0,32359144,5248872
2090,0,33833484,5605364
2118,0,34882784,5751600
2162,0,35948344,6005640
2190,0,36887820,6187260
2243,0,41907424,6435496
2299,0,43327764,6782028
2355,0,44981108,7135020
2411,0,46971592,7497632
2467,0,48665444,7854540
2523,0,50925936,8188744
2579,0,52505304,8520168
2621,0,53721384,8801488
2667,0,54985196,9008484
2723,0,56574244,9348060
2779,0,59868408,9657368
2807,0,60561800,9838952
2849,0,61822624,10084464
2996,0,61962288,10122104
3030,0,61962408,10122120
3086,0,63851636,10460012
3142,0,65269088,10805048
3198,0,66803900,11122732
3254,0,69070300,11458164
3310,0,70750780,11809116
3366,0,72608132,12147812
3422,0,74386056,12522200
3452,0,75085976,12678600
3504,0,83810325,12870883
3512,0,83810797,12870899
3520,0,83814893,12870907
3523,0,83814893,12870907
