time,stack,heap,heap_extra
0,0,0,0
331,0,472,16
337,0,4568,24
340,0,8568,32
343,0,8576,48
344,0,8584,64
344,0,27176,6688
345,0,27192,6696
345,0,39812,11980
345,0,39844,11988
345,0,39852,12004
345,0,39860,12020
345,0,39876,12028
345,0,39884,12044
345,0,39896,12056
345,0,39924,12068
345,0,39984,12080
345,0,40108,12092
345,0,40116,12108
345,0,40124,12124
345,0,40140,12132
345,0,40148,12148
345,0,40156,12164
345,0,40172,12172
345,0,40204,12180
345,0,40212,12196
345,0,40220,12212
345,0,40236,12220
345,0,40244,12236
345,0,40252,12252
345,0,40268,12260
345,0,40300,12268
345,0,40364,12276
345,0,40372,12292
345,0,40380,12308
345,0,40396,12316
345,0,40404,12332
345,0,40412,12348
345,0,40428,12356
345,0,40460,12364
345,0,40468,12380
345,0,40476,12396
345,0,40492,12404
345,0,40500,12420
345,0,40512,12432
345,0,40540,12444
345,0,40600,12456
345,0,40724,12468
345,0,40972,12484
345,0,41472,12504
345,0,42472,12520
345,0,44472,12528
346,0,48472,12536
346,0,48531,12549
347,0,49003,12565
353,0,53099,12573
356,0,53099,12573
356,0,49003,12565
357,0,48531,12549
357,0,44435,12541
357,0,43963,12525
357,0,43904,12512
357,0,39904,12504
